EE1001,Emerging Technologies in Electrical Engineering,"This module introduces students to contemporary issues, emerging technologies and new frontiers in electrical engineering. It serves to demonstrate to students how the EE curriculum is designed to address these aspects via a top-down approach. The module consists of 5 distinct parts of approximately 6  hour lectures and integrated with some self-learning activities. Each part focuses on each of the following areas / topics:

•	Communications and Networking
•	Control and Energy Systems
•	Micro / nanoelectronics
•	Multimedia Signal Processing
•	Grand challenges for engineering – the role of EE 

The lectures will be conducted by a group of faculty members who are experts in the respective areas. Although the lectures are meant to focus on contemporary issues and emerging technologies, an appropriate level of historical perspective will be used to demonstrate how each subfield has evolved from the traditional areas of EE so that students can see both the connections between different areas and the driving force behind the rapid development and expansion of EE in the last few decades. Prior to this series of lectures focusing on specific areas, a detailed introduction of the EE curriculum will also be  given in the first lecture. The philosophy underpinning the curriculum and its strength and constraints will be highlighted. The module will conclude with student presentations on a topic in an area of their  interest. Students are assessed through assignments, reports and presentations.",4,"A-level Math, and A-level Physics"
EE1001X,Emerging Technologies in Electrical Engineering,"This module introduces students to contemporary issues, emerging technologies and new frontiers in electrical engineering. It serves to demonstrate to students how the EE curriculum is designed to address these aspects via a top-down approach. The module consists of 5 distinct parts of approximately 4  hour lectures and integrated with some self-learning activities. Each part focuses on each of the following areas / topics:

•	Communications and Networking
•	Power and Energy Systems
•	Micro / nanoelectronics
•	Control & Robotics
•	Grand challenges for engineering – the role of EE 

The lectures will be conducted by a group of faculty members who are experts in the respective areas. Although the lectures are meant to focus on contemporary issues and emerging technologies, an appropriate level of historical perspective will be used to demonstrate how each subfield has evolved from the traditional areas of EE so that students can see both the connections between different areas and the driving force behind the rapid development and expansion of EE in the last few decades. Prior to this series of lectures focusing on specific areas, a detailed introduction of the EE curriculum will also be  given in the first lecture. The philosophy underpinning the curriculum and its strength and constraints will be highlighted. The module will conclude with student presentations on a topic in an area of their  interest. Students are assessed through assignments, reports and presentations.",4,"A-level Math, and A-level Physics"
EE1002,Introduction to Circuits and Systems,"This is a first course which introduces students to some electrical and magnetic components which  are the building blocks for  electrical engineering.  Such components include resistors, capacitors, inductors, diodes, transistors, op amps and transformers. Students will work in groups in the lab to design simple circuits and systems using these components.   In the process, students learn about physical quantities of voltage and currents, circuit principles, power and energy, and operations of the diode, transistors, op amps and transformers. Some of the circuits will be integrated into a bigger system (e.g. an autonomous vehicle), culminating in a competition for all students. In this module, students also learn soft-skills such as the importance of resourcefulness, teamwork, time-management, project presentation, integrity and effective communications.",4,A-level Physics
EE1003,Introduction to Signals and Communications,"This module introduces students to the important area of signal processing and communications which are two major areas in electrical engineering.  daily lives. It uses an open-ended project approach, and students are guided through the various parts of the project to build the different component modules which can finally be integrated into a complete communication system. It exposes students to the concepts of signals, spectra, sampling, digitization, coding, transmission and reception over physical channels, receiver noise, symbol detection and message reconstruction. Both the systems and the physics aspects of communication are covered. Students will be assessed through assignments, laboratory reports and a final project report with oral presentation.",4,"A-level Math, and A-level Physics"
EE1111,Engineering Principles and Practice I,"This module introduces electrical engineering students to
what engineers do and the engineer's thought process.
This is the first of a two-part module: Engineering
Principles and Practice (EPP) I and II. Real engineering
systems will be used to show how engineers use different
disciplines of engineering, and combine them to make
things work. Through grasping engineering fundamentals,
students learn how engineering systems work and fail
(EPP I). Through learning where systems get energy and
how they are controlled, students learn how multidisciplinary
concepts are tied together (EPP II). The
students will learn basic design, experimentation and
evaluation of engineering systems.",6,
EE1111A,Electrical Engineering Principles and Practice I,"This module introduces first year electrical engineering
students to what engineers do and to the engineer's thought
process. This is the first of a two-part module: Engineering
Principles and Practice (EPP) I and II. Real engineering
systems will be used to show how engineers use different
disciplines of engineering to make things work. Through
grasping engineering fundamentals, students learn how
engineering systems work and fail (EPP I). Through
learning where systems get energy and how they are
controlled, students learn how multi-disciplinary concepts
are tied together (EPP II). Students will also learn basic
design, experimentation and evaluation of engineering
systems.",4,
EE1112,Engineering Principles and Practice II,"This module is the second part of the two part module
Engineering Principles and Practice (EPP) I and II and
follows closely the same learning objectives. Most modern
engineering systems are more electric. They convert some
raw form of energy, such as fuel, mechanical or energy
stored in battery, into electrical form. We see this in every
engineering system from trains, biomedical devices,
chemical plants, electric cars, aircrafts and ships to ICT
devices such as computers, handphones, tablets etc.
Hence, energy conversion, distribution, and sensing &
control will form the backbone of this knowledge segment.",6,
EE2011,Engineering Electromagnetics,"Electromagnetic (EM) and transmission line theory is essential in all disciplines of electrical and computer engineering.  EM theory is the fundamental basis for understanding transmission lines and electrical energy transmission. To understand and solve EM and transmission line problems encountered in electrical and computer engineering, rigorous analytical methods are required. At the end of this module, in addition to being able to solve EM and transmission line problems, the student will be able to design transmission line circuits, design electrical elements with lumped behaviour, and mitigate EM interference.  To enhance understanding, case studies and computer visualisation tools will be used.   Topics covered: Static electric and magnetic fields. Maxwell's equations. Electromagnetic waves: plane-wave propagation, behaviour at interface between media, shielding, electromagnetic compatability. Transmission lines. Impedance matching. Radiation.  Case studies.",4,MA1505 and MA1506
EE2011E,Engineering Electromagnetics,"Electromagnetic (EM) and transmission line theory is essential in all disciplines of electrical and computer engineering.  EM theory is the fundamental basis for understanding transmission lines and electrical energy transmission. To understand and solve EM and transmission line problems encountered in electrical and computer engineering, rigorous analytical methods are required. At the end of this module, in addition to being able to solve EM and transmission line problems, the student will be able to design transmission line circuits, design electrical elements with lumped behaviour, and mitigate EM interference.  To enhance understanding, case studies and computer visualisation tools will be used.   Topics covered: Static electric and magnetic fields. Maxwell's equations. Electromagnetic waves: plane-wave propagation, behaviour at interface between media, shielding, electromagnetic compatability. Transmission lines. Impedance matching. Radiation.  Case studies.",4,TE2002
EE2012,Analytical Methods in Electrical and Computer Engineering,"This module covers the mathematical fundamentals of probability and statistics which are necessary in the study of integrated circuits,  communications, communication networks, control systems, signal processing, energy and new media. There is a strong emphasis on the application of these concepts to electrical and computer engineering problems, such as the Gaussian distribution in communications, random variable distributions for system reliability, Bayes theorem in parameter estimation, and hypothesis testing for signal detection.",4,(MA1505 and MA1506) or (MA1511 and MA1512)
